WardNo,Registered,TotalBallots,ppmVoterTurnout,ppmDemPOTUS,ppmRepPOTUS,ppmDemAverage,ppmRepAverage,logitAverage,ppmDemMaxes,ppmRepMaxes,logitMaxes,ppmDemREPUS,ppmRepREPUS,ppmDemSenWi,ppmRepSenWi,ppmDemRepWi,ppmRepRepWi,ppmDemMinor,ppmRepMinor,WardName
 262,1243,1065, 856798, 624413, 364319, 604694, 345539, 494403, 736150, 345539, 492436, 604694, 345539,      0,      0, 736150,      0, 719248,      0,City of Milwaukee Ward 262
 263, 710, 579, 815492, 645941, 343696, 625215, 328151, 493553, 754749, 328151, 491670, 625215, 328151,      0,      0, 754749,      0, 740932,      0,City of Milwaukee Ward 263
 264,1342,1185, 883010, 570464, 409282, 542616, 388185, 496650, 707172, 388185, 494002, 542616, 388185,      0,      0, 707172,      0, 693670,      0,City of Milwaukee Ward 264
 265, 723, 629, 869986, 558028, 424483, 531001, 419713, 497648, 720190, 419713, 494600, 531001, 419713,      0,      0, 717011,      0, 720190,      0,City of Milwaukee Ward 265
 266, 843, 722, 856465, 470914, 498614, 441828, 490304, 501041, 634349, 490304, 497424, 441828, 490304,      0,      0, 634349,      0, 631578,      0,City of Milwaukee Ward 266
 267, 723, 658, 910096, 550151, 433130, 527355, 419452, 497710, 696048, 419452, 494935, 527355, 419452,      0,      0, 694528,      0, 696048,      0,City of Milwaukee Ward 267
 268,1658,1455, 877563, 548453, 435738, 513402, 413058, 497825, 701718, 413058, 494700, 513402, 413058,      0,      0, 701718,      0, 691408,      0,City of Milwaukee Ward 268
 269, 978, 861, 880368, 523809, 450638, 495354, 445411, 498937, 679442, 608594, 498898, 497096, 442508, 493612, 448315,      0, 608594, 679442,      0,City of Milwaukee Ward 269
 270, 931, 801, 860365, 513108, 469413, 498127, 453807, 499068, 675405, 669163, 499907, 494382, 446941, 501872, 460674,      0, 669163, 675405,      0,City of Milwaukee Ward 270
 271,1695,1476, 870796, 553523, 429539, 522357, 424119, 497916, 705284, 633468, 498926, 516260, 420054, 528455, 428184,      0, 633468, 705284,      0,City of Milwaukee Ward 271
 272,1190,1096, 921008, 467153, 517335, 447536, 501824, 501144, 640510, 670620, 500459, 443430, 503649, 451642, 500000,      0, 670620, 640510,      0,City of Milwaukee Ward 272
 273, 671, 612, 912071, 511437, 473856, 478758, 472222, 499862, 668300, 686274, 500265, 462418, 472222, 495098, 472222,      0, 686274, 668300,      0,City of Milwaukee Ward 273
 274, 702, 611, 870370, 484451, 486088, 477904, 481996, 500085, 654664, 666121, 500173, 469721, 481178, 486088, 482815,      0, 666121, 654664,      0,City of Milwaukee Ward 274
 275,1660,1425, 858433, 541754, 444210, 525964, 429122, 497965, 690526, 644912, 499316, 523508, 423859, 528421, 434385,      0, 644912, 690526,      0,City of Milwaukee Ward 275
 276,1431,1302, 909853, 516129, 460829, 496159, 455452, 499143, 674347, 655145, 499711, 490015, 448540, 502304, 462365,      0, 655145, 674347,      0,City of Milwaukee Ward 276
 277,1520,1321, 869078, 520817, 455715, 504163, 433005, 498478, 687358, 642694, 499328, 494322, 433762, 514004, 432248,      0, 642694, 687358,      0,City of Milwaukee Ward 277
 278, 838, 742, 885441, 498652, 483827, 481132, 460916, 499570, 653638, 641509, 499812, 471698, 458221, 490566, 463611,      0, 641509, 653638,      0,City of Milwaukee Ward 278
 279,1172,1045, 891638, 548325, 425837, 533014, 412440, 497435, 692822, 412440, 494813, 533014, 412440,      0,      0, 692822,      0, 690909,      0,City of Milwaukee Ward 279
 280,1911,1634, 855049, 687882, 294369, 665850, 282741, 491434, 768665, 282741, 489998, 665850, 282741,      0,      0, 768665,      0, 753977,      0,City of Milwaukee Ward 280
 281, 891, 751, 842873, 631158, 352862, 617176, 328894, 493705, 729693, 335552, 492231, 619174, 322237,      0,      0, 615179, 335552, 729693,      0,City of Milwaukee Ward 281
 282, 475, 389, 818947, 681233, 285347, 676092, 237788, 489550, 758354, 262210, 489379, 686375, 213367,      0,      0, 665809, 262210, 758354,      0,City of Milwaukee Ward 282
 283, 914, 738, 807439, 640921, 341463, 618563, 324525, 493549, 753387, 325203, 491598, 612466, 325203,      0,      0, 624661, 323848, 753387,      0,City of Milwaukee Ward 283
 284, 892, 703, 788116, 711237, 280227, 698434, 241109, 489364, 776671, 250355, 488678, 702702, 231863,      0,      0, 694167, 250355, 776671,      0,City of Milwaukee Ward 284
 285, 221, 178, 805429, 713483, 280898, 685393, 297752, 491662, 820224, 303370, 490053, 685393, 303370,      0,      0, 685393, 292134, 820224,      0,City of Milwaukee Ward 285
 286, 538, 423, 786245, 654846, 321513, 644207, 278959, 491630, 751773, 278959, 490086, 631205, 278959,      0,      0, 657210, 278959, 751773,      0,City of Milwaukee Ward 286
 287, 562, 484, 861209, 683884, 291322, 680784, 287189, 491368, 776859, 297520, 490402, 683884, 276859,      0,      0, 677685, 297520, 776859,      0,City of Milwaukee Ward 287
 288,1264,1078, 852848, 624304, 358070, 615955, 334415, 493892, 769944, 346011, 492001, 621521, 322820,      0,      0, 610389, 346011, 769944,      0,City of Milwaukee Ward 288
 289, 780, 640, 820512, 701562, 290625, 682031, 261718, 490421, 751562, 262500, 489480, 676562, 262500,      0,      0, 687500, 260937, 751562,      0,City of Milwaukee Ward 289
 290, 699, 556, 795422, 717625, 253597, 696042, 246402, 489615, 778776, 260791, 489059, 697841, 232014,      0,      0, 694244, 260791, 778776,      0,City of Milwaukee Ward 290
 291, 668, 530, 793413, 673584, 301886, 660376, 258490, 490620, 754716, 267924, 489643, 656603, 249056,      0,      0, 664150, 267924, 754716,      0,City of Milwaukee Ward 291
 292, 747, 632, 846050, 677215, 313291, 646360, 297468, 492239, 753164, 299050, 490763, 634493, 295886,      0,      0, 658227, 299050, 753164,      0,City of Milwaukee Ward 292
 293, 903, 792, 877076, 625000, 349747, 603535, 333333, 494063, 712121, 333333, 492408, 603535, 333333,      0,      0, 712121,      0, 705808,      0,City of Milwaukee Ward 293
 294, 696, 623, 895114, 670947, 306581, 642054, 304975, 492555, 754414, 304975, 490942, 642054, 304975,      0,      0, 754414,      0, 746388,      0,City of Milwaukee Ward 294
 295, 890, 751, 843820, 720372, 254327, 693741, 242343, 489482, 813581, 242343, 487889, 693741, 242343,      0,      0, 805592,      0, 813581,      0,City of Milwaukee Ward 295
 296,1098, 984, 896174, 680894, 292682, 643292, 294715, 492194, 775406, 294715, 490326, 643292, 294715,      0,      0, 775406,      0, 758130,      0,City of Milwaukee Ward 296
 297, 993, 850, 855991, 749411, 231764, 714117, 225882, 488489, 796470, 225882, 487398, 714117, 225882,      0,      0, 791764,      0, 796470,      0,City of Milwaukee Ward 297
 298, 827, 724, 875453, 748618, 223756, 707182, 225138, 488554, 808011, 225138, 487221, 707182, 225138,      0,      0, 808011,      0, 785911,      0,City of Milwaukee Ward 298
 299,1029, 923, 896987, 707475, 269772, 682556, 262188, 490432, 795232, 262188, 488904, 682556, 262188,      0,      0, 795232,      0, 773564,      0,City of Milwaukee Ward 299
 300,1388,1218, 877521, 793924, 183908, 766009, 189655, 486040, 829228, 189655, 485247, 766009, 189655,      0,      0, 829228,      0, 825123,      0,City of Milwaukee Ward 300
 301,1314,1156, 879756, 665224, 312283, 615916, 307958, 493068, 760380, 307958, 490961, 615916, 307958,      0,      0, 760380,      0, 748269,      0,City of Milwaukee Ward 301
 302, 906, 793, 875275, 600252, 389659, 569987, 374527, 495800, 730138, 374527, 493324, 569987, 374527,      0,      0, 730138,      0, 727616,      0,City of Milwaukee Ward 302
 303,1316,1173, 891337, 615515, 365728, 567774, 363171, 495531, 715260, 363171, 493222, 567774, 363171,      0,      0, 715260,      0, 710144,      0,City of Milwaukee Ward 303
 304,1089, 931, 854912, 570354, 407089, 532760, 410311, 497388, 714285, 410311, 494456, 532760, 410311,      0,      0, 714285,      0, 701396,      0,City of Milwaukee Ward 304
 305,1101, 936, 850136, 605769, 367521, 585470, 337606, 494494, 723290, 337606, 492380, 585470, 337606,      0,      0, 723290,      0, 720085,      0,City of Milwaukee Ward 305
 306, 891, 703, 789001, 677098, 305832, 653626, 302987, 492311, 766714, 305832, 490809, 658605, 300142,      0,      0, 648648, 305832, 766714,      0,City of Milwaukee Ward 306
 307, 910, 802, 881318, 605985, 376558, 587281, 355361, 494976, 744389, 356608, 492640, 581047, 354114,      0,      0, 593516, 356608, 744389,      0,City of Milwaukee Ward 307
 308, 942, 753, 799363, 671978, 312084, 651394, 276892, 491445, 760956, 290836, 490381, 656042, 262948,      0,      0, 646746, 290836, 760956,      0,City of Milwaukee Ward 308
 309,1298,1116, 859784, 577956, 405913, 554659, 379032, 496192, 722222, 379032, 493552, 554659, 379032,      0,      0, 722222,      0, 717741,      0,City of Milwaukee Ward 309
 310, 448, 358, 799107, 698324, 290502, 698324, 215083, 488223, 734636, 215083, 487716, 698324, 215083,      0,      0, 734636,      0, 715083,      0,City of Milwaukee Ward 310
 311, 785, 663, 844585, 555052, 417797, 538461, 358974, 495945, 687782, 358974, 493497, 538461, 358974,      0,      0, 687782,      0, 654600,      0,City of Milwaukee Ward 311
 312,1029, 951, 924198, 581493, 409043, 541535, 415352, 497347, 706624, 415352, 494686, 541535, 415352,      0,      0, 706624,      0, 697160,      0,City of Milwaukee Ward 312
 313,2034,1747, 858898, 543789, 436176, 519748, 408700, 497596, 669719, 408700, 495061, 519748, 408700,      0,      0, 669719,      0, 668002,      0,City of Milwaukee Ward 313
 314, 769, 681, 885565, 509544, 469897, 477239, 459618, 499623, 634361, 459618, 496777, 477239, 459618,      0,      0, 612334,      0, 634361,      0,City of Milwaukee Ward 314
 315,1510, 919, 608609, 507072, 474428, 482045, 435255, 498978, 672470, 435255, 495649, 482045, 435255,      0,      0, 672470,      0, 668117,      0,City of Milwaukee Ward 315
 316, 865, 751, 868208, 496671, 492676, 484687, 459387, 499463, 719041, 459387, 495519, 484687, 459387,      0,      0, 717709,      0, 719041,      0,City of Milwaukee Ward 316
 317,1019, 906, 889106, 588300, 388520, 544150, 386313, 496574, 721854, 386313, 493748, 544150, 386313,      0,      0, 721854,      0, 695364,      0,City of Milwaukee Ward 317
 320,  59,  41, 694915, 902439,  97560, 865853,  73170, 475290, 926829,  73170, 474610, 878048,  73170,      0,      0, 853658,  73170, 926829,      0,City of Milwaukee Ward 320
 321, 296, 206, 695945, 839805, 140776, 779125, 148057, 483394, 786407, 165048, 484387, 786407, 131067,      0,      0, 771844, 165048, 766990,      0,City of Milwaukee Ward 321
 322, 166, 123, 740963, 796747, 186991, 739837, 182926, 486026, 829268, 203252, 485939, 739837, 162601,      0,      0, 739837, 203252, 829268,      0,City of Milwaukee Ward 322
 323, 363, 262, 721763, 774809, 221374, 721373, 198472, 487094, 732824, 206106, 487314, 729007, 190839,      0,      0, 713740, 206106, 732824,      0,City of Milwaukee Ward 323
 324, 175, 111, 634285, 756756, 234234, 720720, 225225, 488368, 819819, 243243, 487849, 711711, 207207,      0,      0, 729729, 243243, 819819,      0,City of Milwaukee Ward 324
 325, 477, 381, 798742, 784776, 194225, 771653, 190288, 486000, 845144, 191601, 485159, 763779, 188976,      0,      0, 779527, 191601, 845144,      0,City of Milwaukee Ward 325
 328,1194,1057, 885259, 680227, 305581, 637653, 331756, 493466, 733207, 336802, 492220, 636707, 321665, 640491, 336802, 635761, 336802, 733207,      0,Village of Bayside Wards 13
 329,  73,  72, 986301, 652777, 333333, 592592, 337962, 494384, 597222, 361111, 494968, 597222, 319444, 583333, 361111, 597222, 333333, 583333,      0,Village of Bayside Wards 1S3S
 330,1393,1263, 906676, 721298, 258907, 675375, 307732, 492139, 737133, 313539, 491451, 669041, 300079, 676959, 313539, 680126, 309580, 737133,      0,Village of Bayside Wards 24
 331, 769, 712, 925877, 713483, 269662, 646535, 323501, 493075, 717696, 330056, 492232, 637640, 320224, 648876, 330056, 653089, 320224, 717696,      0,Village of Bayside Ward 5
 332,2807,2498, 889918, 757005, 221377, 723111, 242593, 489078, 803042, 255004, 488528, 718975, 234587, 718975, 255004, 731385, 238190, 803042,      0,V. Brown Deer Wards 12
 333,2731,2495, 913584, 674949, 309418, 645156, 320641, 493008, 750701, 334669, 491921, 640480, 310220, 638877, 334669, 656112, 317034, 750701,      0,V. Brown Deer Wards 34
 334,2737,2483, 907197, 704389, 276278, 672036, 283661, 491374, 758356, 294401, 490537, 667337, 272654, 669351, 294401, 679420, 283930, 758356,      0,V. Brown Deer Wards 56
 335,2300,1991, 865652, 615268, 366147, 582119, 346057, 494799, 684580, 346057, 493177, 582119, 346057,      0,      0, 684580,      0, 662983,      0,City of Cudahy Wards 123
 336,2092,1821, 870458, 539813, 437671, 512355, 409665, 497763, 665568, 409665, 495146, 512355, 409665,      0,      0, 665568,      0, 641405,      0,City of Cudahy Wards 456
