WardNo,Registered,TotalBallots,ppmVoterTurnout,ppmDemPOTUS,ppmRepPOTUS,ppmDemAverage,ppmRepAverage,logitAverage,ppmDemMaxes,ppmRepMaxes,logitMaxes,ppmDemREPUS,ppmRepREPUS,ppmDemSenWi,ppmRepSenWi,ppmDemRepWi,ppmRepRepWi,ppmDemMinor,ppmRepMinor,WardName
   1,1502,1185, 788948, 821940, 160337, 802953, 152742, 483404, 851476, 153586, 482872, 806751, 151898, 851476,      0, 799156, 153586, 836286,      0,City of Milwaukee Ward 1
   2, 524, 358, 683206, 902234,  78212, 875697,  79608, 476020, 913407,  89385, 476757, 893854,  69832, 913407,      0, 857541,  89385, 865921,      0,City of Milwaukee Ward 2
   3,1119, 879, 785522, 816837, 166097, 781569, 144482, 483118, 835039, 147895, 482690, 790671, 147895, 835039,      0, 772468, 141069, 832764,      0,City of Milwaukee Ward 3
   4,1907,1473, 772417, 853360, 127630, 825865, 121181, 480808, 874405, 123557, 480431, 840461, 118805, 874405,      0, 811269, 123557, 860149,      0,City of Milwaukee Ward 4
   5, 974, 777, 797741, 849420, 131274, 837193, 129343, 481324, 879021, 137709, 481463, 842985, 120978, 879021,      0, 831402, 137709, 855855,      0,City of Milwaukee Ward 5
   6,2157,1777, 823829, 792346, 196961, 768148, 184017, 485710, 841868, 187394, 484975, 775464, 180641, 841868,      0, 760832, 187394, 839054,      0,City of Milwaukee Ward 6
   7, 745, 562, 754362, 708185, 281138, 685942, 265124, 490494, 772241, 266903, 489375, 701067, 263345, 768683,      0, 670818, 266903, 772241,      0,City of Milwaukee Ward 7
   8,1765,1484, 840793, 774932, 206199, 749326, 214959, 487512, 836253, 219676, 486632, 754043, 210242, 811994,      0, 744609, 219676, 836253,      0,City of Milwaukee Ward 8
   9, 876, 752, 858447, 841755, 152925, 819148, 137632, 482163, 845744, 143617, 482269, 839095, 131648, 845744,      0, 799202, 143617, 837765,      0,City of Milwaukee Ward 9
  10,1447,1176, 812715, 748299, 241496, 716411, 223639, 488357, 799319, 225340, 487338, 719387, 225340, 789965,      0, 713435, 221938, 799319,      0,City of Milwaukee Ward 10
  11,1298,1030, 793528, 816504, 165048, 802426, 149028, 483164, 842718, 151456, 482836, 816504, 146601, 838834,      0, 788349, 151456, 842718,      0,City of Milwaukee Ward 11
  12,1126, 811, 720248, 822441, 165228, 799630, 155363, 483616, 870530, 166461, 483456, 813810, 144266, 870530,      0, 785450, 166461, 853267,      0,City of Milwaukee Ward 12
  13, 699, 517, 739628, 746615, 235976, 741779, 217601, 487736, 812379, 232108, 487472, 764023, 203094, 812379,      0, 719535, 232108, 791102,      0,City of Milwaukee Ward 13
  14,1341,1012, 754660, 918972,  70158, 895256,  68181, 474250, 926877,  83992, 475989, 925889,  52371, 926877,      0, 864624,  83992, 900197,      0,City of Milwaukee Ward 14
  15, 878, 768, 874715, 696614, 283854, 666666, 290364, 491688, 731770, 302083, 491152, 680989, 278645, 730468,      0, 652343, 302083, 731770,      0,City of Milwaukee Ward 15
  16,1768,1384, 782805, 875000, 111271, 842846, 110187, 479653, 879335, 123554, 480375, 856936,  96820, 879335,      0, 828757, 123554, 865606,      0,City of Milwaukee Ward 16
  17, 735, 615, 836734, 775609, 203252, 756097, 195934, 486496, 824390, 208130, 486235, 765853, 183739, 817886,      0, 746341, 208130, 824390,      0,City of Milwaukee Ward 17
  18,1079, 873, 809082, 846506, 143184, 816723, 149484, 483018, 870561, 160366, 483083, 838487, 138602, 870561,      0, 794959, 160366, 860252,      0,City of Milwaukee Ward 18
  19, 891, 660, 740740, 834848, 150000, 806060, 133333, 482006, 856060, 140909, 481957, 825757, 125757, 856060,      0, 786363, 140909, 828787,      0,City of Milwaukee Ward 19
  20,1122, 901, 803030, 887902, 103218, 856825, 102663, 478782, 896781, 117647, 479688, 886792,  87680, 896781,      0, 826859, 117647, 864594,      0,City of Milwaukee Ward 20
  21,1081, 809, 748381, 914709,  71693, 891223,  71074, 474711, 938195,  77873, 475111, 903584,  64276, 938195,      0, 878862,  77873, 908529,      0,City of Milwaukee Ward 21
  22, 991, 707, 713420, 865629, 114568, 842998, 118811, 480405, 889674, 118811, 479866, 852899, 118811, 889674,      0, 833097, 118811, 879773,      0,City of Milwaukee Ward 22
  23, 450, 303, 673333, 864686, 112211, 821782, 115511, 480378, 874587, 135313, 481338, 841584,  95709, 874587,      0, 801980, 135313, 858085,      0,City of Milwaukee Ward 23
  24, 609, 352, 577996, 886363,  93750, 848011,  76704, 475970, 883522,  90909, 477259, 883522,  62500, 883522,      0, 812500,  90909, 855113,      0,City of Milwaukee Ward 24
  25,1004, 695, 692231, 870503, 119424, 835970, 108632, 479593, 867625, 116546, 479925, 861870, 100719, 867625,      0, 810071, 116546, 833093,      0,City of Milwaukee Ward 25
  26, 886, 703, 793453, 863442, 113798, 834281, 100284, 478814, 894736, 118065, 479747, 860597,  82503, 894736,      0, 807965, 118065, 876244,      0,City of Milwaukee Ward 26
  27, 800, 625, 781250, 812800, 174400, 802400, 141600, 482653, 878400, 148800, 482245, 820800, 134400, 878400,      0, 784000, 148800, 832000,      0,City of Milwaukee Ward 27
  28, 353, 236, 668555, 868644, 114406, 830508, 114406, 480177, 881355, 131355, 480964, 847457,  97457, 881355,      0, 813559, 131355, 868644,      0,City of Milwaukee Ward 28
  29, 460, 338, 734782, 866863, 115384, 865384, 107987, 479188, 928994, 109467, 478615, 872781, 106508, 928994,      0, 857988, 109467, 911242,      0,City of Milwaukee Ward 29
  30, 950, 659, 693684, 851289, 133535, 820940, 113049, 480173, 854324, 115326, 479974, 830045, 110773, 854324,      0, 811836, 115326, 833080,      0,City of Milwaukee Ward 30
  31, 866, 665, 767898, 887218, 105263, 861654,  99999, 478463, 899248, 105263, 478549, 867669, 105263, 887218,      0, 855639,  94736, 899248,      0,City of Milwaukee Ward 31
  32,1857,1482, 798061, 826585, 151147, 813090, 136639, 482165, 864372, 141700, 481917, 824561, 131578, 864372,      0, 801619, 141700, 844804,      0,City of Milwaukee Ward 32
  33,2395,2043, 853027, 648066, 334801, 631913, 333333, 493603, 753793, 523739, 496358, 633871, 325012, 629955, 341654,      0, 523739, 753793,      0,City of Milwaukee Ward 33
  34,1426,1145, 802945, 744978, 229694, 721833, 236681, 488849, 802620, 466375, 494571, 724890, 224454, 718777, 248908,      0, 466375, 802620,      0,City of Milwaukee Ward 34
  35,1071, 869, 811391, 705408, 277330, 661679, 266398, 490902, 776754, 268124, 489363, 672036, 264672, 749136,      0, 651323, 268124, 776754,      0,City of Milwaukee Ward 35
  36, 978, 796, 813905, 863065, 119346, 853643, 105527, 479094, 893216, 106783, 478759, 854271, 106783, 893216,      0, 853015, 104271, 883165,      0,City of Milwaukee Ward 36
  37, 965, 657, 680829, 882800,  97412, 850836,  98173, 478405, 876712, 100456, 478335, 867579,  95890, 876712,      0, 834094, 100456, 855403,      0,City of Milwaukee Ward 37
  38, 749, 538, 718291, 914498,  76208, 891263,  77137, 475529, 908921,  78066, 475452, 901486,  78066, 908921,      0, 881040,  76208, 895910,      0,City of Milwaukee Ward 38
  39, 885, 682, 770621, 832844, 153958, 804985, 146627, 482970, 851906, 151026, 482699, 819648, 142228, 851906,      0, 790322, 151026, 847507,      0,City of Milwaukee Ward 39
  40, 861, 635, 737514, 913385,  77165, 896850,  64566, 473687, 914960,  66141, 473729, 903937,  62992, 914960,      0, 889763,  66141, 900787,      0,City of Milwaukee Ward 40
  41, 860, 627, 729069, 912280,  81339, 877990,  74162, 475286, 918660,  82934, 475951, 894736,  65390, 918660,      0, 861244,  82934, 901116,      0,City of Milwaukee Ward 41
  42,1145, 890, 777292, 911235,  75280, 898876,  70224, 474505, 919101,  79775, 475558, 908988,  60674, 919101,      0, 888764,  79775, 910112,      0,City of Milwaukee Ward 42
  43, 446, 254, 569506, 925196,  66929, 899605,  57086, 472426, 921259,  74803, 474891, 917322,  39370, 921259,      0, 881889,  74803, 897637,      0,City of Milwaukee Ward 43
  44,1152, 902, 782986, 891352,  89800, 898373,  71692, 474717, 910199,  79822, 475661, 895787,  70953, 910199,  64301, 889135,  79822, 900221,      0,City of Milwaukee Ward 44
  45,1185, 871, 735021, 885189,  92996, 858782,  89552, 477393, 903559,  98737, 477861, 879448,  80367, 903559,      0, 838117,  98737, 882893,      0,City of Milwaukee Ward 45
  46, 665, 489, 735338, 912065,  69529, 898772,  73619, 474978, 924335,  79754, 475498, 916155,  67484, 924335,      0, 881390,  79754, 893660,      0,City of Milwaukee Ward 46
  47,1135, 849, 748017, 922261,  56537, 892226,  61837, 473307, 917550,  70671, 474363, 917550,  53003, 917550,      0, 866902,  70671, 896348,      0,City of Milwaukee Ward 47
  48, 553, 423, 764918, 903073,  82742, 867612,  87470, 477055, 907801,  94562, 477382, 874704,  80378, 907801,      0, 860520,  94562, 895981,      0,City of Milwaukee Ward 48
  49, 776, 568, 731958, 917253,  68661, 884682,  73063, 475060, 915492,  91549, 476974, 910211,  54577, 915492,      0, 859154,  91549, 894366,      0,City of Milwaukee Ward 49
  50, 719, 526, 731571, 897338,  93155, 869771,  84600, 476697, 904942,  96958, 477664, 891634,  72243, 904942,      0, 847908,  96958, 874524,      0,City of Milwaukee Ward 50
  51, 703, 506, 719772, 932806,  49407, 902173,  42489, 469444, 924901,  61264, 472855, 924901,  23715, 918972,      0, 879446,  61264, 897233,      0,City of Milwaukee Ward 51
  52,1049, 700, 667302, 918571,  64285, 896428,  64999, 473759, 934285,  65714, 473455, 910000,  64285, 934285,      0, 882857,  65714, 912857,      0,City of Milwaukee Ward 52
  53, 475, 387, 814736, 899224,  82687, 865632,  83979, 476671, 896640,  98191, 477882, 891472,  69767, 896640,      0, 839793,  98191, 891472,      0,City of Milwaukee Ward 53
  54, 608, 432, 710526, 951388,  25462, 960648,  20833, 461689, 960648,  20833, 461689, 960648,  20833, 932870,      0, 912037,      0, 895833,      0,City of Milwaukee Ward 54
  55,1312,1041, 793445, 813640, 165225, 804034, 157540, 483700, 833813, 157540, 483336, 804034, 157540, 833813,      0, 804034,      0, 803073,      0,City of Milwaukee Ward 55
  56, 823, 650, 789793, 949230,  41538, 949230,  27692, 464654, 949230,  27692, 464654, 949230,  27692, 940000,      0, 896923,      0, 876923,      0,City of Milwaukee Ward 56
  57,1072, 824, 768656, 956310,  25485, 941747,  25485, 463903, 941747,  25485, 463903, 941747,  25485, 934466,      0, 904126,      0, 893203,      0,City of Milwaukee Ward 57
  58, 788, 640, 812182, 940625,  39062, 946875,  25000, 463657, 946875,  25000, 463657, 946875,  25000, 939062,      0, 912500,      0, 885937,      0,City of Milwaukee Ward 58
  59,1550,1172, 756129, 951365,  37542, 953924,  27303, 464464, 953924,  27303, 464464, 953924,  27303, 935153,      0, 913822,      0, 893344,      0,City of Milwaukee Ward 59
  60,1071, 765, 714285, 962091,  30065, 950326,  19607, 461190, 950326,  19607, 461190, 950326,  19607, 939869,      0, 898039,      0, 888888,      0,City of Milwaukee Ward 60
  61, 943, 674, 714740, 955489,  32640, 942136,  28189, 464907, 942136,  28189, 464907, 942136,  28189, 921364,      0, 872403,      0, 872403,      0,City of Milwaukee Ward 61
  62, 782, 544, 695652, 939338,  42279, 941176,  23897, 463266, 948529,  23897, 463188, 941176,  23897, 948529,      0, 867647,      0, 886029,      0,City of Milwaukee Ward 62
  63, 740, 537, 725675, 944134,  37243, 953445,  20484, 461595, 953445,  20484, 461595, 953445,  20484, 940409,      0, 884543,      0, 884543,      0,City of Milwaukee Ward 63
  64,1600,1203, 751875, 942643,  44887, 926295,  36851, 467756, 936824,  47381, 470157, 936824,  31587, 932668,  31587, 909393,  47381, 912718,      0,City of Milwaukee Ward 64
  65,1233, 981, 795620, 952089,  38735, 928983,  38396, 468138, 942915,  44852, 469543, 942915,  33639, 939857,  36697, 904179,  44852, 922528,      0,City of Milwaukee Ward 65
  66, 775, 568, 732903, 943661,  38732, 938966,  31102, 465924, 950704,  42253, 468864, 943661,  26408, 950704,  24647, 922535,  42253, 917253,      0,City of Milwaukee Ward 66
  67, 707, 525, 742574, 946666,  36190, 936507,  38729, 468144, 958095,  55238, 471467, 933333,  32380, 958095,  28571, 918095,  55238, 921904,      0,City of Milwaukee Ward 67
  68,1299, 978, 752886, 865030, 108384, 870824,  79413, 476052, 886503,  87934, 476893, 886503,  73619, 876278,  76687, 849693,  87934, 885480,      0,City of Milwaukee Ward 68
  69,1033, 800, 774443, 933750,  50000, 931250,  42916, 469227, 940000,  46250, 469881, 940000,  42500, 928750,  40000, 925000,  46250, 916250,      0,City of Milwaukee Ward 69
  70,1466,1147, 782401, 923278,  68003, 917174,  55216, 471899, 922406,  58413, 472405, 913687,  53182, 922406,  54054, 915431,  58413, 913687,      0,City of Milwaukee Ward 70
  71, 838, 671, 800715, 921013,  71535, 923496,  61599, 472924, 929955,  70044, 474139, 929955,  56631, 928464,  58122, 912071,  70044, 925484,      0,City of Milwaukee Ward 71
  72,1125, 923, 820444, 910075,  80173, 906102,  66810, 473927, 914409,  73672, 474813, 912242,  62838, 914409,  63921, 891657,  73672, 907908,      0,City of Milwaukee Ward 72
  73,1245, 980, 787148, 887755,  93877, 869047,  89115, 477225, 881632,  93877, 477602, 881632,  85714, 874489,  87755, 851020,  93877, 871428,      0,City of Milwaukee Ward 73
  74, 785, 665, 847133, 897744,  93233, 886215,  84711, 476522, 891729,  91729, 477256, 887218,  82706, 891729,  79699, 879699,  91729, 891729,      0,City of Milwaukee Ward 74
  75, 855, 688, 804678, 821220, 165697, 802325, 168604, 484400, 861918, 175872, 484105, 806686, 164244, 808139, 165697, 792151, 175872, 861918,      0,City of Milwaukee Ward 75
  76, 851, 664, 780258, 891566,  85843, 883533,  90361, 477198, 906626,  96385, 477586, 894578,  87349, 885542,  87349, 870481,  96385, 906626,      0,City of Milwaukee Ward 76
  77, 761, 621, 816031, 834138, 154589, 818035, 148684, 482949, 879227, 149758, 482299, 822866, 149758, 822866, 148148, 808373, 148148, 879227,      0,City of Milwaukee Ward 77
  78,1321,1044, 790310, 843869, 138888, 823754, 131225, 481630, 871647, 132183, 481138, 834291, 132183, 871647,      0, 813218, 130268, 860153,      0,City of Milwaukee Ward 78
  79,1350,1111, 822962, 836183, 145814, 810530, 145814, 482846, 855985, 149414, 482544, 821782, 142214, 855985,      0, 799279, 149414, 848784,      0,City of Milwaukee Ward 79
  80,1790,1478, 825698, 725304, 256427, 696210, 251014, 489798, 782138, 252368, 488688, 698917, 249661, 774018,      0, 693504, 252368, 782138,      0,City of Milwaukee Ward 80
  81, 740, 636, 859459, 603773, 361635, 570754, 372641, 495736, 742138, 375786, 493194, 573899, 369496, 704402,      0, 567610, 375786, 742138,      0,City of Milwaukee Ward 81
  82, 945, 845, 894179, 624852, 356213, 588757, 375147, 495493, 750295, 381065, 493225, 581065, 369230,      0,      0, 596449, 381065, 750295,      0,City of Milwaukee Ward 82
  83,1157,1011, 873811, 654797, 319485, 607648, 352456, 494553, 791295, 360039, 492125, 607319, 350148, 618199, 347181, 597428, 360039, 791295,      0,City of Milwaukee Ward 83
  84, 826, 711, 860774, 654008, 315049, 615564, 332395, 493837, 779184, 348804, 491962, 617440, 320675, 630098, 327707, 599156, 348804, 779184,      0,City of Milwaukee Ward 84
  85,1109, 948, 854824, 657172, 318565, 626581, 332278, 493656, 782700, 336497, 491558, 608649, 328059,      0,      0, 644514, 336497, 782700,      0,City of Milwaukee Ward 85
  86,1065, 927, 870422, 678532, 295577, 656418, 312836, 492588, 796116, 316073, 490762, 642934, 316073,      0,      0, 669902, 309600, 796116,      0,City of Milwaukee Ward 86
  87, 689, 594, 862119, 730639, 252525, 689393, 274410, 490788, 801346, 276094, 489344, 676767, 276094,      0,      0, 702020, 272727, 801346,      0,City of Milwaukee Ward 87
  88, 928, 804, 866379, 752487, 227611, 725124, 245439, 489167, 824626, 257462, 488359, 728855, 235074, 731343, 243781, 715174, 257462, 824626,      0,City of Milwaukee Ward 88
  89,1175,1012, 861276, 737154, 242094, 706521, 254281, 489780, 815217, 262845, 488681, 707509, 250000, 714426, 250000, 697628, 262845, 815217,      0,City of Milwaukee Ward 89
  90,1135, 966, 851101, 758799, 224637, 740165, 223947, 488045, 840579, 233954, 487210, 742236, 219461, 751552, 218426, 726708, 233954, 840579,      0,City of Milwaukee Ward 90
  91,1650,1289, 781212, 885182,  99301, 868114,  92577, 477617, 897595, 100853, 478139, 868890,  89216, 877424,  87664, 858029, 100853, 897595,      0,City of Milwaukee Ward 91
  92,1606,1346, 838107, 785289, 193164, 758791, 207527, 487035, 839524, 219910, 486603, 763001, 196879, 768945, 205794, 744427, 219910, 839524,      0,City of Milwaukee Ward 92
  93, 765, 678, 886274, 730088, 250737, 693952, 272123, 490638, 806784, 275811, 489266, 679941, 268436,      0,      0, 707964, 275811, 806784,      0,City of Milwaukee Ward 93
  94, 609, 446, 732348, 930493,  51569, 903586,  55305, 472064, 919282,  58295, 472419, 919282,  58295, 910313,  49327, 881165,  58295, 901345,      0,City of Milwaukee Ward 94
  95, 664, 543, 817771, 917127,  81031, 891958,  65070, 473820, 900552,  68139, 474185, 896869,  62615, 900552,  64456, 878453,  68139, 891344,      0,City of Milwaukee Ward 95
  96,1201, 977, 813488, 872057, 120777, 841009, 134083, 481638, 876151, 153531, 482583, 856704, 124872, 848515, 123848, 817809, 153531, 876151,      0,City of Milwaukee Ward 96
  97,1144, 937, 819055, 758804, 221985, 726787, 240127, 488925, 800426, 280683, 489520, 739594, 225186, 755602, 214514, 685165, 280683, 800426,      0,City of Milwaukee Ward 97
  98, 803, 663, 825653, 933634,  48265, 931120,  43740, 469418, 945701,  54298, 471425, 945701,  42232, 935143,  34690, 912518,  54298, 929110,      0,City of Milwaukee Ward 98
  99,1291,1042, 807126, 900191,  91170, 893474,  85732, 476561, 903071,  93090, 477277, 890595,  84452, 903071,  79654, 886756,  93090, 890595,      0,City of Milwaukee Ward 99
 100, 801, 620, 774032, 924193,  54838, 918548,  49999, 470892, 922580,  51612, 471165, 922580,  51612, 914516,  48387, 900000,      0, 896774,      0,City of Milwaukee Ward 100
 101,1199, 927, 773144, 952535,  30204, 949298,  20496, 461645, 951456,  20496, 461622, 947141,  20496, 951456,  20496, 900755,      0, 907227,      0,City of Milwaukee Ward 101
 102,1394,1135, 814203, 935682,  50220, 930396,  44492, 469596, 937444,  45814, 469814, 937444,  43171, 923348,  45814, 898678,      0, 894273,      0,City of Milwaukee Ward 102
 103,1726,1256, 727694, 913216,  74840, 912818,  60509, 472862, 915605,  63694, 473345, 910031,  63694, 915605,  57324, 891719,      0, 881369,      0,City of Milwaukee Ward 103
 104,1468,1019, 694141, 949950,  32384, 949459,  23552, 463033, 949950,  24533, 463436, 948969,  24533, 949950,  22571, 903827,      0, 903827,      0,City of Milwaukee Ward 104
 105, 627, 434, 692185, 947004,  32258, 944700,  26497, 464261, 951612,  27649, 464614, 951612,  25345, 937788,  27649, 894009,      0, 912442,      0,City of Milwaukee Ward 105
 106, 562, 328, 583629, 935975,  33536, 928353,  35060, 467236, 939024,  42682, 469089, 917682,  42682, 939024,  27439, 890243,      0, 926829,      0,City of Milwaukee Ward 106
 107, 829, 608, 733413, 967105,  16447, 966282,  13157, 457034, 972039,  14802, 458153, 960526,  14802, 972039,  11513, 925986,      0, 935855,      0,City of Milwaukee Ward 107
 108, 862, 616, 714617, 935064,  42207, 929382,  25973, 464225, 938311,  30844, 465848, 938311,  30844, 920454,  21103, 891233,      0, 896103,      0,City of Milwaukee Ward 108
 109, 959, 638, 665276, 962382,  28213, 944357,  22726, 462730, 946708,  23510, 463044, 946708,  23510, 942006,  21943, 894984,      0, 905956,      0,City of Milwaukee Ward 109
 110, 540, 341, 631481, 950146,  32258, 951612,  21994, 462326, 961876,  32258, 466048, 941348,  32258, 961876,  11730, 909090,      0, 923753,      0,City of Milwaukee Ward 110
 111, 760, 483, 635526, 954451,  31055, 928571,  26915, 464590, 929606,  26915, 464579, 929606,  26915, 927536,  26915, 879917,      0, 906832,      0,City of Milwaukee Ward 111
 112, 858, 602, 701631, 958471,  29900, 938538,  23255, 463021, 938538,  23255, 463021, 938538,  23255, 905315,      0, 857142,      0, 847176,      0,City of Milwaukee Ward 112
 113, 732, 511, 698087, 943248,  43052, 947162,  17612, 460151, 947162,  17612, 460151, 947162,  17612, 933463,      0, 919765,      0, 913894,      0,City of Milwaukee Ward 113
 114, 671, 495, 737704, 949494,  32323, 937373,  24242, 463450, 939393,  24242, 463428, 937373,  24242, 939393,      0, 905050,      0, 874747,      0,City of Milwaukee Ward 114
 115,1114, 817, 733393, 965728,  23255, 958384,  13463, 457346, 958384,  13463, 457346, 958384,  13463, 938800,      0, 886168,      0, 883720,      0,City of Milwaukee Ward 115
 116, 611, 410, 671031, 963414,  24390, 948780,  12195, 456458, 948780,  12195, 456458, 948780,  12195, 946341,      0, 890243,      0, 875609,      0,City of Milwaukee Ward 116
 117, 712, 483, 678370, 962732,  18633, 948240,  16563, 459525, 948240,  16563, 459525, 948240,  16563, 933747,      0, 861283,      0, 859213,      0,City of Milwaukee Ward 117
 118, 807, 572, 708798, 942307,  41958, 933566,  31468, 466099, 942307,  31468, 466006, 933566,  31468, 942307,      0, 893356,      0, 882867,      0,City of Milwaukee Ward 118
 119, 831, 574, 690734, 958188,  29616, 942508,  27874, 464791, 952961,  27874, 464681, 942508,  27874, 952961,      0, 914634,      0, 890243,      0,City of Milwaukee Ward 119
 120, 738, 473, 640921, 945031,  42283, 938689,  35940, 467373, 947145,  35940, 467283, 938689,  35940, 947145,      0, 887949,      0, 894291,      0,City of Milwaukee Ward 120
 121, 918, 655, 713507, 934351,  50381, 937404,  27480, 464703, 937404,  27480, 464703, 937404,  27480, 926717,      0, 888549,      0, 870229,      0,City of Milwaukee Ward 121
 122,1007, 670, 665342, 940298,  49253, 922388,  43283, 469407, 929850,  43283, 469327, 922388,  43283, 929850,      0, 907462,      0, 902985,      0,City of Milwaukee Ward 122
 123,1265, 905, 715415, 895027,  83977, 875138,  66298, 474197, 890607,  66298, 474022, 875138,  66298, 890607,      0, 886187,      0, 871823,      0,City of Milwaukee Ward 123
 124, 793, 608, 766708, 886513,  85526, 861842,  93750, 477815, 894736,  93750, 477441, 861842,  93750, 894736,      0, 878289,      0, 875000,      0,City of Milwaukee Ward 124
 125,1376,1150, 835755, 880000, 105217, 858260, 100869, 478589, 858260, 100869, 478589, 858260, 100869, 843478,      0, 843478,      0, 835652,      0,City of Milwaukee Ward 125
 126,1065, 908, 852582, 897577,  80396, 869493,  78744, 475982, 872246,  79295, 476021, 866740,  78193,      0,      0, 872246,  79295, 871145,      0,City of Milwaukee Ward 126
 127,1499,1247, 831887, 814755, 167602, 785485, 172413, 484835, 878107, 173215, 483767, 776263, 171611,      0,      0, 794707, 173215, 878107,      0,City of Milwaukee Ward 127
 128,1693,1319, 779090, 800606, 172100, 772554, 180818, 485477, 853677, 181956, 484542, 764973, 179681,      0,      0, 780136, 181956, 853677,      0,City of Milwaukee Ward 128
 129,1174, 989, 842419, 817997, 163801, 769463, 184023, 485693, 824064, 189079, 485279, 765419, 189079,      0,      0, 773508, 178968, 824064,      0,City of Milwaukee Ward 129
 130, 794, 352, 443324, 758522, 221590, 713067, 237215, 488993, 894886, 244318, 487017, 701704, 230113,      0,      0, 724431, 244318, 894886,      0,City of Milwaukee Ward 130
 131,1306,1145, 876722, 754585, 233187, 699999, 252401, 489799, 770305, 254148, 488911, 691703, 254148,      0,      0, 708296, 250655, 770305,      0,City of Milwaukee Ward 131
 132,1915,1637, 854830, 766646, 219303, 708002, 241295, 489235, 775809, 241295, 488321, 706780, 241295,      0,      0, 709224, 241295, 775809,      0,City of Milwaukee Ward 132
 133,1085, 830, 764976, 855421, 120481, 823493, 130722, 481595, 862650, 134939, 481448, 815662, 134939,      0,      0, 831325, 126506, 862650,      0,City of Milwaukee Ward 133
 134,1150, 910, 791304, 834065, 128571, 816483, 140109, 482374, 851648, 141758, 482069, 815384, 138461,      0,      0, 817582, 141758, 851648,      0,City of Milwaukee Ward 134
 135,1529,1278, 835840, 841940, 128325, 810250, 142800, 482641, 877151, 143974, 481929, 798904, 141627,      0,      0, 821596, 143974, 877151,      0,City of Milwaukee Ward 135
 136,1213, 889, 732893, 830146, 136107, 803711, 151293, 483299, 848143, 156355, 483090, 800899, 146231,      0,      0, 806524, 156355, 848143,      0,City of Milwaukee Ward 136
 137, 841, 659, 783590, 846737, 125948, 830803, 132776, 481662, 852807, 139605, 481902, 823975, 125948,      0,      0, 837632, 139605, 852807,      0,City of Milwaukee Ward 137
 138,2463,1942, 788469, 912976,  66426, 898557,  70030, 474481, 903707,  72090, 474714, 893408,  67971, 903707,  72090, 848094,      0, 876416,      0,City of Milwaukee Ward 138
 139,1726,1311, 759559, 897787,  75514, 877192,  88862, 477103, 883295,  92295, 477413, 871090,  85430, 883295,  92295, 836765,      0, 865751,      0,City of Milwaukee Ward 139
 140, 572, 373, 652097, 919571,  67024, 876675,  40214, 469180, 876675,  40214, 469180, 876675,  40214, 873994,      0, 820375,      0, 825737,      0,City of Milwaukee Ward 140
 141, 771, 570, 739299, 931578,  49122, 920175,  45613, 469956, 921052,  47368, 470324, 919298,  43859, 921052,  47368, 889473,      0, 894736,      0,City of Milwaukee Ward 141
 142, 833, 631, 757503, 947702,  33280, 930269,  32487, 466453, 930269,  33280, 466694, 930269,  31695, 930269,  33280, 881141,      0, 916006,      0,City of Milwaukee Ward 142
 143, 655, 470, 717557, 953191,  38297, 938297,  25531, 463958, 940425,  25531, 463935, 936170,  25531, 940425,  25531, 885106,      0, 906382,      0,City of Milwaukee Ward 143
 144, 531, 350, 659133, 954285,  17142, 945714,  21428, 462127, 948571,  22857, 462743, 948571,  22857, 942857,  20000, 868571,      0, 905714,      0,City of Milwaukee Ward 144
 145, 322, 213, 661490, 938967,  23474, 950703,  14084, 457878, 957746,  18779, 460681, 957746,   9389, 943661,  18779, 887323,      0, 915492,      0,City of Milwaukee Ward 145
 146, 276, 188, 681159, 952127,  31914, 941489,  15957, 459224, 941489,  15957, 459224, 941489,  15957, 925531,      0, 867021,      0, 872340,      0,City of Milwaukee Ward 146
 147,1119, 730, 652368, 958904,  31506, 936301,  21232, 462135, 936986,  28767, 465165, 936986,  28767, 935616,  13698, 890410,      0, 890410,      0,City of Milwaukee Ward 147
 148, 798, 554, 694235, 945848,  39711, 942238,  28880, 465148, 942238,  32490, 466326, 942238,  32490, 942238,  25270, 891696,      0, 898916,      0,City of Milwaukee Ward 148
 149,1008, 675, 669642, 936296,  50370, 928148,  42962, 469271, 936296,  45925, 469850, 920000,  45925, 936296,  40000, 872592,      0, 899259,      0,City of Milwaukee Ward 149
 150, 848, 594, 700471, 930976,  53872, 905723,  47979, 470620, 910774,  48821, 470738, 910774,  48821, 900673,  47138, 840067,      0, 875420,      0,City of Milwaukee Ward 150
 151, 581, 414, 712564, 944444,  36231, 934782,  35023, 467156, 939613,  38647, 468090, 929951,  38647, 939613,  31400, 850241,      0, 874396,      0,City of Milwaukee Ward 151
 152, 553, 357, 645569, 929971,  53221, 901960,  44817, 469980, 901960,  44817, 469980, 901960,  44817, 901960,  44817, 862745,      0, 882352,      0,City of Milwaukee Ward 152
 153, 871, 671, 770378, 929955,  56631, 923993,  49180, 470667, 929955,  53651, 471473, 918032,  53651, 929955,  44709, 888226,      0, 879284,      0,City of Milwaukee Ward 153
 154, 756, 523, 691798, 929254,  49713, 918737,  49713, 470832, 925430,  55449, 471852, 925430,  43977, 912045,  55449, 894837,      0, 891013,      0,City of Milwaukee Ward 154
 155, 717, 472, 658298, 917372,  63559, 890889,  58262, 472727, 900423,  59322, 472801, 900423,  57203, 881355,  59322, 851694,      0, 864406,      0,City of Milwaukee Ward 155
